Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
opt-66b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,42.9,3.05,53.72,53.52,36.76,6.97,55.2,56.0,55.17,58.84,56.49,57.64,102.61,105.84,51.55,15.74,91.79,99.32,31.2,79.98,0.95,1.17,0.7,0.0,0.29,0.38,8.62
t0,asset-test,asset-valid,3,p0,1,random,95829907.66666667,51.26,2.55,52.71,54.25,36.5,8.55,53.6,58.4,54.99,54.64,52.69,53.59,148.75,392.66,50.97,19.58,90.88,97.49,38.44,84.16,1.12,1.24,0.7,0.2,0.28,0.31,8.57
t0-3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,50.45,1.71,53.45,50.32,35.16,8.9,52.61,59.16,54.92,54.89,54.97,54.89,121.22,359.25,50.38,19.31,89.65,97.77,37.06,82.69,1.21,1.26,0.72,0.32,0.3,0.27,8.54
llama-30b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,41.41,4.26,52.44,52.65,36.45,6.25,53.94,56.87,54.88,57.11,56.83,56.94,95.06,89.9,54.3,15.27,90.88,99.18,29.31,78.09,0.96,1.31,0.69,0.0,0.33,0.38,8.54
llama-13b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,40.71,3.83,51.96,53.9,36.56,6.29,54.79,55.23,54.49,57.92,55.16,56.53,110.56,141.23,53.23,15.58,91.22,99.25,30.39,78.87,0.9,1.25,0.69,0.0,0.3,0.39,8.54
bloomz-1b1,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,43.03,1.69,52.54,51.43,35.22,7.47,57.42,51.77,54.19,62.23,53.1,57.58,93.58,104.37,53.05,20.45,92.5,98.94,33.45,83.02,0.87,1.09,0.69,0.24,0.23,0.39,8.53
t0-3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,53.68,1.8,52.4,51.23,35.14,8.85,52.57,57.67,54.18,54.59,53.29,53.92,109.24,154.48,51.55,18.63,90.73,98.66,38.2,84.19,1.1,1.15,0.72,0.33,0.29,0.3,8.54
bloom-560m,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,46.35,1.27,56.87,44.49,34.21,8.03,52.11,56.71,54.09,57.5,59.59,58.51,104.02,104.08,45.03,17.78,90.62,98.92,31.49,80.21,1.08,1.18,0.75,0.01,0.29,0.3,8.66
opt-30b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,43.39,2.8,53.63,52.47,36.3,6.91,53.65,55.16,53.91,57.46,55.85,56.61,98.56,86.78,50.96,15.95,91.68,99.21,31.22,79.42,0.96,1.19,0.7,0.0,0.3,0.37,8.63
bloom-3b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,33.29,2.48,55.96,50.44,36.29,7.97,52.22,56.37,53.83,56.7,58.0,57.23,69.58,82.37,52.08,18.79,87.03,97.65,29.18,79.15,1.42,1.66,0.68,0.15,0.35,0.27,8.59
t5-xl-lm-adapt,asset-test,asset-valid,3,p1,1,random,95829907.66666667,33.11,2.75,60.94,29.67,31.12,7.04,34.53,76.75,53.53,36.79,76.53,55.45,70.06,82.05,25.12,23.8,73.1,85.2,23.01,56.82,2.71,2.96,0.63,0.09,0.49,0.06,8.67
bloom-3b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,43.08,2.15,55.14,48.91,35.4,7.44,52.31,55.44,53.52,56.98,57.38,57.14,101.76,146.4,47.33,15.74,90.01,98.84,31.15,79.41,1.07,1.24,0.72,0.0,0.31,0.33,8.59
bloomz-1b1,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,44.87,1.96,54.06,48.69,34.9,8.19,52.47,54.5,53.1,57.08,56.47,56.76,102.03,101.7,45.89,18.32,91.21,99.17,31.83,81.1,1.01,1.08,0.72,0.02,0.31,0.35,8.57
gpt-j-6b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,40.85,2.88,52.72,52.14,35.91,6.63,52.42,54.37,52.92,56.23,55.3,55.74,98.93,105.09,50.18,15.95,90.35,99.16,30.4,78.96,0.99,1.26,0.69,0.0,0.32,0.37,8.57
bloom-1b1,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,43.87,1.52,56.13,43.96,33.87,8.36,50.42,55.78,52.79,55.74,58.73,57.21,100.65,105.67,45.72,16.22,90.22,99.02,31.04,80.17,1.16,1.22,0.74,0.0,0.31,0.3,8.61
bloomz-3b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,40.34,2.41,51.04,50.8,34.75,8.51,54.0,52.08,52.51,58.75,53.05,55.85,81.87,84.1,52.37,19.23,91.54,98.95,32.55,83.12,1.03,1.12,0.67,0.13,0.3,0.38,8.56
opt-1.3b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,41.37,1.95,55.95,44.9,34.27,8.36,49.26,56.4,52.45,54.11,58.93,56.47,84.74,81.42,46.48,15.61,88.64,98.5,30.38,79.15,1.27,1.3,0.72,0.0,0.36,0.28,8.63
openai-text-ada-001,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,43.89,2.16,57.26,45.76,35.06,7.88,48.9,56.63,52.44,54.27,59.72,56.96,139.88,249.46,40.64,19.55,88.82,98.15,30.32,77.97,1.13,1.24,0.73,0.01,0.34,0.29,8.52
t5-xl-lm-adapt,asset-test,asset-valid,3,p0,1,random,95829907.66666667,31.18,2.72,61.3,25.79,29.94,6.87,29.95,78.67,51.92,32.33,79.47,54.38,52.47,64.66,27.13,22.5,70.83,83.76,27.96,67.26,2.99,3.8,0.58,0.16,0.54,0.04,8.58
opt-1.3b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,39.64,1.95,52.89,49.46,34.76,7.96,51.07,51.37,50.78,55.66,52.4,53.98,65.73,63.07,55.35,17.19,89.48,98.35,31.72,81.41,1.21,1.28,0.66,0.26,0.33,0.36,8.54
bloom-560m,asset-test,asset-valid,3,p2,1,random,95829907.66666667,29.52,2.56,51.49,54.37,36.14,8.01,44.74,58.34,50.11,46.07,53.03,49.31,93.72,189.35,42.68,22.92,83.44,94.79,30.66,73.5,1.81,2.12,0.63,0.23,0.42,0.24,8.53
bloom-560m,asset-test,asset-valid,3,p0,1,random,95907829.66666667,29.72,2.5,50.91,55.29,36.23,7.78,44.64,57.81,49.83,45.77,52.26,48.77,100.43,213.22,41.06,23.82,83.6,94.67,32.02,76.19,1.72,2.04,0.63,0.23,0.41,0.26,8.53
opt-1.3b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,37.55,1.97,52.49,50.76,35.07,8.16,49.39,50.37,49.43,53.63,50.97,52.25,68.25,77.04,55.23,17.79,89.37,98.42,31.44,81.58,1.28,1.27,0.65,0.28,0.34,0.36,8.56
bloomz-3b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,37.82,2.26,49.5,52.22,34.66,8.4,50.35,48.78,49.06,54.64,49.34,51.95,79.35,76.76,53.35,18.69,91.3,98.91,32.54,83.02,1.04,1.12,0.65,0.15,0.33,0.39,8.54
bloomz-560m,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,36.7,1.62,54.91,48.15,34.89,8.38,45.65,52.54,48.73,50.31,54.64,52.43,100.45,89.3,37.68,21.29,87.63,97.01,29.23,75.73,1.36,1.3,0.7,0.02,0.36,0.3,8.63
llama-7b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,30.88,3.83,44.8,57.0,35.21,5.77,48.99,49.32,48.58,51.59,48.06,49.78,107.07,115.27,52.88,16.7,92.04,99.13,30.14,78.43,0.89,1.28,0.63,0.0,0.35,0.47,8.49
bloom-1b1,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,29.1,1.82,56.7,47.6,35.37,7.99,43.8,54.41,48.52,48.53,56.63,52.35,66.54,61.6,46.54,21.91,85.05,96.27,28.65,77.32,1.78,1.96,0.65,0.24,0.4,0.24,8.53
t5-xl-lm-adapt,asset-test,asset-valid,3,p2,1,random,95829907.66666667,29.12,2.75,61.64,22.96,29.12,7.06,23.39,78.37,48.25,25.31,79.48,50.64,46.21,63.38,23.39,19.59,68.06,81.75,26.76,65.54,3.3,4.09,0.53,0.11,0.59,0.03,8.57
gpt-neox-20b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,31.24,3.1,45.3,57.27,35.23,6.41,49.09,48.42,48.23,51.45,47.18,49.3,103.55,100.62,50.93,15.89,91.7,99.22,31.07,79.36,0.91,1.21,0.63,0.0,0.35,0.46,8.52
t5-xxl-lm-adapt,asset-test,asset-valid,3,p0,1,random,95829907.66666667,28.41,3.91,61.89,34.36,33.39,6.99,24.61,76.98,48.21,25.69,75.39,49.0,47.58,52.03,24.94,20.18,69.37,84.28,27.38,67.76,3.28,4.2,0.52,0.08,0.6,0.05,8.6
t0pp,asset-test,asset-valid,3,p0,1,random,95829907.66666667,41.7,2.0,50.71,54.42,35.71,8.36,45.35,52.54,47.98,47.23,47.87,47.55,93.75,137.39,46.87,22.0,86.32,95.58,34.43,78.6,1.26,1.37,0.68,0.3,0.37,0.3,8.57
t0pp,asset-test,asset-valid,3,p2,1,random,95829907.66666667,40.64,2.0,50.13,53.01,35.05,8.65,44.9,52.41,47.69,46.51,47.52,46.98,97.16,275.41,44.67,23.17,84.94,94.28,33.14,75.87,1.33,1.41,0.68,0.3,0.38,0.3,8.57
bloom-1b1,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,29.12,1.97,54.93,48.84,35.25,7.78,43.34,51.8,47.06,47.8,53.64,50.55,68.23,61.83,47.2,21.62,85.77,96.75,29.03,78.17,1.64,1.9,0.64,0.23,0.4,0.27,8.52
t5-xxl-lm-adapt,asset-test,asset-valid,3,p2,1,random,95829907.66666667,27.81,3.93,61.89,33.69,33.17,6.85,22.01,76.47,46.59,23.06,75.01,47.43,49.7,56.64,25.43,19.15,69.94,85.73,26.2,67.6,3.33,4.33,0.51,0.06,0.62,0.05,8.6
t5-xxl-lm-adapt,asset-test,asset-valid,3,p1,1,random,95829907.66666667,28.42,3.4,61.39,32.42,32.4,7.19,22.91,74.23,46.16,24.25,73.86,47.56,61.49,75.97,18.65,20.07,70.05,84.21,21.97,56.31,3.26,3.52,0.54,0.04,0.59,0.05,8.69
t5-xl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,25.85,2.1,65.58,32.54,33.41,6.66,27.29,65.86,45.32,31.29,71.35,50.2,43.78,41.16,29.36,21.22,72.77,86.91,24.72,68.3,3.18,3.69,0.56,0.1,0.56,0.07,8.57
t5-xl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,26.82,1.79,64.04,32.79,32.87,6.8,28.9,63.88,45.25,33.27,69.22,50.27,59.48,64.31,24.3,22.4,74.28,87.32,20.77,58.87,2.92,3.03,0.59,0.05,0.53,0.09,8.66
t5-xxl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,25.51,2.48,66.74,32.66,33.96,6.7,25.79,67.36,45.21,29.68,72.52,49.94,42.95,42.38,29.84,20.58,72.18,87.08,25.03,69.05,3.34,4.03,0.54,0.07,0.58,0.06,8.57
flan-t5-xl,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,24.25,1.43,50.12,46.08,32.54,10.38,44.62,44.75,44.61,89.23,80.33,84.66,217.19,1279.79,53.59,16.24,90.82,98.77,35.88,84.97,0.89,1.01,0.88,0.29,0.07,0.17,8.95
flan-t5-xxl,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,23.54,1.9,50.65,50.96,34.51,10.5,44.72,44.63,44.6,86.61,77.7,82.03,143.05,317.22,55.16,15.5,91.26,98.64,35.47,84.52,0.91,1.0,0.86,0.28,0.09,0.2,8.93
t5-xxl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,24.95,2.39,66.44,31.48,33.44,6.67,24.2,66.83,44.15,27.84,72.19,48.8,44.5,41.52,29.49,19.92,72.91,88.8,24.14,68.72,3.44,4.06,0.53,0.06,0.6,0.06,8.59
bloomz-560m,asset-test,asset-valid,3,p0,1,random,95829907.66666667,38.98,2.26,43.29,61.2,35.58,7.84,43.79,46.69,44.14,43.08,37.44,40.23,132.49,197.13,44.82,22.34,90.79,98.38,37.86,83.38,0.98,1.18,0.61,0.16,0.37,0.46,8.44
flan-t5-xl,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,22.2,2.18,48.07,49.39,33.21,9.11,43.69,44.69,44.12,85.33,78.33,81.77,144.54,418.61,54.75,16.79,89.46,98.44,34.1,83.22,0.93,1.22,0.86,0.13,0.13,0.2,8.95
flan-ul2,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,20.8,2.1,48.72,55.32,35.38,9.58,45.61,42.7,44.06,86.28,73.49,79.68,141.55,278.6,57.16,15.6,91.38,99.11,36.41,85.42,0.86,1.06,0.83,0.2,0.09,0.24,8.92
flan-t5-xl,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,23.05,1.66,48.62,46.37,32.21,10.09,44.18,43.82,43.93,85.96,76.8,81.27,145.37,273.73,52.18,16.84,90.61,99.01,35.33,84.19,0.89,1.03,0.87,0.15,0.09,0.2,8.94
openai-text-davinci-002,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,22.0,4.66,48.65,55.72,36.34,10.05,42.78,44.69,43.67,74.51,70.5,72.4,88.64,144.91,57.71,14.97,89.03,98.72,31.16,80.11,1.1,1.09,0.77,0.08,0.25,0.23,8.87
flan-ul2,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,22.25,1.67,48.49,49.21,33.12,9.47,43.54,43.9,43.65,85.64,77.44,81.41,140.92,332.28,55.26,16.21,90.69,99.04,35.39,84.24,0.93,1.12,0.86,0.17,0.1,0.2,8.94
flan-t5-xxl,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,20.97,2.43,47.46,52.93,34.27,9.13,43.22,43.77,43.43,82.73,75.21,78.91,134.61,278.94,54.7,17.34,90.13,98.68,34.51,83.84,0.91,1.18,0.83,0.12,0.15,0.23,8.92
openai-text-davinci-002,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,21.72,4.46,48.25,55.66,36.12,10.02,43.46,43.28,43.3,78.08,70.01,73.9,101.82,185.28,58.03,14.7,89.8,98.8,32.9,81.65,1.0,1.03,0.78,0.1,0.19,0.24,8.9
flan-ul2,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,19.79,2.48,47.18,56.28,35.31,8.52,43.12,42.59,42.8,81.65,73.01,77.23,130.62,265.82,57.95,16.34,89.96,98.95,34.39,83.72,0.91,1.26,0.81,0.08,0.16,0.25,8.91
t5-large-lm-adapt,asset-test,asset-valid,3,p1,1,random,95829907.66666667,27.56,2.4,60.22,25.84,29.49,7.0,18.84,71.26,42.71,20.3,72.35,44.78,57.43,75.01,14.37,17.1,67.25,79.94,20.9,52.95,3.31,3.61,0.53,0.0,0.62,0.05,8.69
t5-xl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,24.41,2.02,66.1,30.43,32.85,6.62,21.92,65.9,42.51,25.54,71.71,47.35,37.88,29.96,25.48,18.78,70.3,85.08,24.25,66.84,3.58,4.08,0.52,0.07,0.61,0.06,8.57
flan-t5-small,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,22.53,0.91,49.66,50.8,33.79,10.2,42.67,41.92,42.22,84.87,75.15,79.86,138.56,216.48,49.2,18.82,91.13,98.75,35.73,84.79,0.91,1.02,0.85,0.24,0.09,0.21,8.95
flan-t5-xxl,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,21.48,2.11,48.3,52.39,34.27,10.14,42.16,42.04,42.02,80.8,72.68,76.6,150.16,300.59,52.37,16.96,91.18,99.13,34.87,83.44,0.94,1.01,0.82,0.13,0.13,0.22,8.92
t5-large-lm-adapt,asset-test,asset-valid,3,p0,1,random,95829907.66666667,25.65,2.78,59.98,31.34,31.36,6.8,16.67,71.63,41.42,17.68,70.82,42.58,40.48,58.34,18.34,16.82,65.65,79.02,26.56,64.06,3.49,4.53,0.48,0.06,0.65,0.05,8.55
flan-t5-large,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,18.23,2.26,46.03,58.85,35.71,8.7,42.21,40.55,41.31,79.1,68.67,73.78,276.19,2549.7,52.59,18.16,89.95,98.79,34.88,83.99,0.87,1.2,0.79,0.08,0.16,0.28,8.95
bloomz-560m,asset-test,asset-valid,3,p2,1,random,95829907.66666667,36.04,1.86,43.16,60.33,35.12,7.52,40.13,44.45,41.21,39.69,35.65,37.62,202.88,709.82,39.52,24.63,90.02,97.45,36.24,78.21,1.11,1.42,0.6,0.19,0.37,0.45,8.53
openai-gpt-3.5-turbo,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,12.42,5.59,40.6,73.44,39.88,8.88,42.24,40.25,41.2,61.61,53.08,57.27,96.7,344.53,64.3,13.45,90.45,98.98,29.74,78.86,0.99,1.1,0.63,0.0,0.38,0.41,8.81
openai-text-davinci-003,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,13.03,5.74,41.13,72.56,39.81,9.31,41.45,40.32,40.83,62.32,55.11,58.66,93.8,290.96,60.71,13.87,89.81,99.06,30.96,79.43,0.98,1.07,0.64,0.0,0.38,0.41,8.84
flan-t5-large,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,17.24,1.66,46.86,61.76,36.76,9.26,43.87,37.83,40.75,80.1,63.25,71.4,137.27,228.03,55.41,17.9,92.84,99.07,37.39,85.72,0.8,1.02,0.76,0.14,0.11,0.33,8.91
openai-gpt-3.5-turbo,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,12.08,5.94,39.8,74.7,40.14,8.93,41.28,40.16,40.67,58.84,51.74,55.24,99.96,455.12,63.8,13.73,90.09,98.97,28.59,77.9,1.03,1.1,0.61,0.0,0.43,0.42,8.75
flan-t5-base,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,18.48,1.95,47.63,60.79,36.79,9.05,41.99,39.41,40.63,79.02,67.39,73.08,138.16,231.77,51.95,18.24,90.89,98.89,35.51,84.67,0.85,1.09,0.8,0.07,0.14,0.29,8.9
openai-text-davinci-003,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,12.12,4.98,39.64,71.81,38.81,8.58,42.2,38.54,40.31,64.36,52.84,58.5,105.45,168.72,60.76,15.98,90.62,98.99,33.4,81.73,0.86,1.06,0.64,0.0,0.31,0.44,8.88
flan-t5-large,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,17.2,1.89,45.31,59.82,35.67,8.97,42.55,37.76,40.06,77.82,63.21,70.32,147.46,224.21,54.07,17.73,91.62,98.96,35.88,85.21,0.81,1.12,0.77,0.09,0.14,0.33,8.93
openai-text-curie-001,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,18.93,4.29,46.91,61.9,37.7,10.29,39.21,40.44,39.77,67.59,63.06,65.23,84.97,154.36,56.68,15.19,88.54,98.57,30.08,78.35,1.13,1.07,0.73,0.03,0.29,0.28,8.87
openai-text-curie-001,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,18.62,4.35,47.0,63.33,38.22,10.15,38.18,40.57,39.31,65.54,62.19,63.78,79.22,106.08,56.1,15.14,87.93,98.2,29.53,77.62,1.13,1.11,0.72,0.02,0.32,0.28,8.89
t5-xxl-lm-adapt,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,23.57,2.11,65.13,30.81,32.68,6.89,18.27,62.8,39.19,21.64,67.95,43.58,53.32,50.27,17.53,17.67,71.45,86.27,20.0,58.48,3.6,3.63,0.51,0.02,0.63,0.06,8.69
flan-t5-small,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,21.15,1.15,48.32,53.56,34.34,9.98,38.93,38.63,38.71,77.18,68.32,72.63,148.11,246.44,46.02,19.83,90.17,98.37,34.42,83.56,0.96,1.07,0.82,0.19,0.15,0.23,8.92
openai-text-davinci-002,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,21.01,4.43,46.73,56.45,35.87,9.69,36.17,41.25,38.67,63.15,63.64,63.34,120.73,152.03,49.94,15.29,89.86,98.92,31.34,78.26,1.07,1.05,0.77,0.0,0.29,0.27,8.89
flan-t5-small,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,17.56,1.6,46.54,61.82,36.65,8.99,40.38,36.96,38.6,75.24,63.05,68.99,162.17,319.09,45.37,20.94,91.38,98.8,36.02,84.96,0.87,1.16,0.78,0.11,0.16,0.31,8.91
t5-large-lm-adapt,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,23.19,1.49,63.37,30.54,31.8,6.94,19.28,60.16,38.56,22.98,65.39,43.15,51.48,43.92,16.69,17.11,71.02,85.3,19.86,57.67,3.48,3.56,0.52,0.0,0.63,0.08,8.69
openai-text-babbage-001,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,17.53,3.37,45.03,61.39,36.6,10.49,37.83,38.2,37.95,66.89,61.21,63.94,86.35,141.93,53.91,16.32,89.01,98.3,30.5,78.59,1.1,1.03,0.72,0.07,0.29,0.29,8.86
flan-t5-base,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,18.59,1.25,45.78,56.12,34.39,10.02,38.71,37.16,37.86,74.17,64.2,69.05,138.09,230.49,49.72,19.19,90.85,98.46,35.45,84.06,0.93,1.02,0.78,0.12,0.16,0.29,8.94
t5-large-lm-adapt,asset-test,asset-valid,3,p2,1,random,95829907.66666667,23.96,2.92,60.07,30.38,31.12,6.88,10.59,70.93,37.82,11.16,70.1,38.78,35.59,50.26,15.21,12.13,63.51,77.53,25.66,63.11,3.81,4.9,0.44,0.02,0.7,0.04,8.53
flan-t5-base,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,16.03,1.53,46.83,65.11,37.83,9.47,40.62,34.67,37.55,75.25,58.83,66.79,145.33,212.15,52.75,19.28,92.76,98.98,37.6,85.87,0.8,0.98,0.74,0.12,0.12,0.35,8.91
openai-text-babbage-001,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,16.79,3.21,44.08,61.91,36.4,10.17,37.3,37.21,37.19,65.7,59.49,62.45,153.92,1173.05,54.84,16.57,89.19,98.3,30.5,78.58,1.09,1.03,0.71,0.07,0.29,0.31,8.86
ul2,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,20.58,2.99,65.64,38.14,35.59,6.59,16.31,60.45,37.11,18.9,64.56,40.65,40.85,24.26,21.43,13.17,67.72,86.48,23.3,68.05,4.03,4.61,0.44,0.0,0.71,0.05,8.67
ul2,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,20.24,2.94,65.08,37.66,35.22,6.92,15.92,60.86,37.07,18.58,65.18,40.78,39.05,19.63,21.62,13.25,67.89,87.09,23.21,68.3,4.06,4.42,0.44,0.0,0.71,0.05,8.63
ul2,asset-test,asset-valid,3,p2,1,random,95829907.66666667,23.39,5.3,61.04,40.62,35.65,7.65,11.31,67.93,37.0,11.48,66.14,37.31,42.99,25.81,15.99,10.79,64.15,82.66,26.07,67.14,3.93,4.57,0.41,0.0,0.73,0.04,8.64
ul2,asset-test,asset-valid,3,p0,1,random,95829907.66666667,23.28,5.11,60.77,39.84,35.24,7.29,11.87,66.88,36.83,12.22,65.15,37.25,43.71,27.18,14.85,10.93,63.41,82.2,26.09,66.86,3.91,4.74,0.41,0.0,0.73,0.04,8.61
t0-3b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,24.07,1.56,46.11,52.46,33.37,8.5,35.12,38.84,36.56,38.11,38.66,38.36,72.66,85.86,50.64,18.24,88.49,98.26,24.84,67.98,1.62,1.66,0.59,0.17,0.47,0.35,8.57
openai-gpt-3.5-turbo,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,11.73,5.29,38.24,74.07,39.2,8.29,35.18,37.79,36.46,51.28,49.47,50.36,94.48,113.28,58.43,14.12,90.26,98.91,28.29,74.64,1.04,1.13,0.61,0.0,0.46,0.42,8.78
openai-text-davinci-003,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,12.25,4.79,38.85,71.97,38.54,8.07,36.06,36.69,36.35,55.31,50.11,52.68,131.22,171.49,54.14,16.69,91.33,99.23,32.21,78.15,0.87,1.05,0.65,0.0,0.36,0.46,8.83
openai-text-curie-001,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,16.81,3.86,44.46,65.09,37.8,9.44,32.99,37.7,35.31,55.34,55.81,55.52,101.73,211.93,50.31,15.92,88.53,98.53,28.66,75.22,1.15,1.1,0.69,0.0,0.37,0.32,8.86
t5-base-lm-adapt,asset-test,asset-valid,3,p1,1,random,95829907.66666667,23.46,2.39,58.0,34.0,31.46,7.31,12.98,62.01,35.29,13.88,61.58,36.42,49.9,48.93,10.2,13.15,63.93,77.66,20.44,52.78,3.56,3.74,0.46,0.0,0.69,0.06,8.69
openai-text-ada-001,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,20.36,1.72,48.9,58.94,36.52,10.62,32.55,35.49,33.95,63.26,59.71,61.33,232.54,1095.91,41.43,21.65,89.5,98.17,34.24,82.52,1.15,1.03,0.74,0.16,0.25,0.28,8.83
ul2,asset-test,asset-valid,3,p1,1,random,95829907.66666667,22.05,4.52,60.08,43.05,35.88,6.94,7.45,65.84,33.93,7.68,64.37,34.42,53.94,35.75,7.94,7.13,64.7,82.7,20.68,55.81,3.9,4.31,0.42,0.0,0.74,0.04,8.75
ul2,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,20.1,2.43,64.69,37.67,34.93,6.59,11.12,58.11,33.26,13.61,62.34,36.79,52.09,26.81,10.64,8.52,67.88,86.41,19.04,58.34,4.03,4.17,0.44,0.0,0.71,0.05,8.74
t0-3b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,24.61,1.16,43.8,51.7,32.22,9.01,30.26,34.81,32.19,33.12,34.97,34.04,213.46,1248.78,43.17,19.87,88.79,96.48,24.68,64.74,1.52,1.41,0.58,0.08,0.48,0.4,8.56
bloom-560m,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,17.13,1.61,44.61,54.03,33.41,7.76,27.96,36.86,31.85,30.17,35.95,32.92,67.48,59.88,38.58,22.56,83.69,96.4,28.41,77.9,2.08,2.21,0.53,0.16,0.54,0.33,8.49
t5-large-lm-adapt,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,18.3,1.78,58.47,41.86,34.04,6.33,14.65,51.17,31.77,17.24,54.02,34.73,39.1,31.67,22.41,16.76,70.95,86.21,24.44,68.14,3.59,4.38,0.46,0.05,0.68,0.11,8.56
openai-text-babbage-001,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,15.41,2.88,43.68,61.68,36.08,10.19,28.27,35.09,31.63,50.77,54.49,52.55,94.93,192.78,45.53,15.81,86.1,97.71,27.57,73.42,1.38,1.15,0.67,0.0,0.41,0.28,8.88
